run_accession	platform	library_layout	read_length	spots	count_reads	bases	average_genome_size	genome_equilvalents	sample_accession	sampling_campaign	sampling_station	sampling_platform	event_label	event_date_time_start	event_date_time_end	latitude_start	longitude_start	latitude_end	longitude_end	depth	sample_collection_device	protocol_label	size_fraction_lower_threshold	size_fraction_upper_threshold	sample_status	last_update_date	marine_region	temperature	salinity_sensor	oxygen_sensor	nitrate_sensor	chlorophyll_sensor	environment_biome	environment_feature	environment_material	environmental_package	citation	further_details	project_name	ena_checklist
ERR599119	ILLUMINA	PAIRED	100	41818200	83636400	8351444203	1897090	4402.24773792917	ERS492888	TARA_20110726Z	TARA_125	"SV Tara"	TARA_20110808T1733Z_125_EVENT_PUMP	2011-08-08T17:33	2011-08-08T19:54	-8.9111	-142.557	-8.895	-142.623	5	"PUMP (High Volume Peristaltic Pump)"	BACT_NUC-RNA(10L-or-10min)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	26.7802	35.4277	187.303	4.98594	0.233673	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599066	ILLUMINA	PAIRED	100	40806380	81612760	8133481643	1867150	4356.103431915379	ERS492888	TARA_20110726Z	TARA_125	"SV Tara"	TARA_20110808T1733Z_125_EVENT_PUMP	2011-08-08T17:33	2011-08-08T19:54	-8.9111	-142.557	-8.895	-142.623	5	"PUMP (High Volume Peristaltic Pump)"	BACT_NUC-RNA(10L-or-10min)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	26.7802	35.4277	187.303	4.98594	0.233673	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599114	ILLUMINA	PAIRED	100	40936449	81872898	8179952798	1865440	4385.000022715825	ERS492888	TARA_20110726Z	TARA_125	"SV Tara"	TARA_20110808T1733Z_125_EVENT_PUMP	2011-08-08T17:33	2011-08-08T19:54	-8.9111	-142.557	-8.895	-142.623	5	"PUMP (High Volume Peristaltic Pump)"	BACT_NUC-RNA(10L-or-10min)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	26.7802	35.4277	187.303	4.98594	0.233673	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599091	ILLUMINA	PAIRED	100	40691545	81383090	8134045183	1865290	4360.730899793813	ERS492888	TARA_20110726Z	TARA_125	"SV Tara"	TARA_20110808T1733Z_125_EVENT_PUMP	2011-08-08T17:33	2011-08-08T19:54	-8.9111	-142.557	-8.895	-142.623	5	"PUMP (High Volume Peristaltic Pump)"	BACT_NUC-RNA(10L-or-10min)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	26.7802	35.4277	187.303	4.98594	0.233673	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599327	ILLUMINA	PAIRED	96	175567325	351134650	33785074900	15593900	2166.556275252653	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599274	ILLUMINA	PAIRED	97	178978365	357956730	34890852527	16575000	2105.022714082035	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599233	ILLUMINA	PAIRED	97	176924352	353848704	34253229689	15142500	2262.055947553251	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599272	ILLUMINA	PAIRED	96	176640796	353281592	34057583699	15938900	2136.7614097728324	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599251	ILLUMINA	PAIRED	97	179659784	359319568	34894139746	16585500	2103.8916863690924	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599334	ILLUMINA	PAIRED	97	178982808	357965616	34871582255	16669800	2091.8982695501277	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599300	ILLUMINA	PAIRED	98	199637077	399274154	39212634551	14935700	2625.424003333214	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599318	ILLUMINA	PAIRED	97	178297107	356594214	34508529732	15733000	2193.3829935722433	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599273	ILLUMINA	PAIRED	98	180817648	361635296	35381163564	15953700	2217.7355824034676	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599252	ILLUMINA	PAIRED	97	175258766	350517532	33955698888	15780000	2151.818141997936	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599316	ILLUMINA	PAIRED	98	91652432	183304864	17899611056	16645200	1075.3588866585555	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599271	ILLUMINA	PAIRED	101	121048130	242096260	24493297734	15965600	1534.1279493381276	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599315	ILLUMINA	PAIRED	98	181999381	363998762	35594673679	17288000	2058.924458152866	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599308	ILLUMINA	PAIRED	96	177370830	354741660	34170736216	14791100	2310.2251265542723	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599289	ILLUMINA	PAIRED	98	181023688	362047376	35326482437	16282000	2169.6614786551427	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599242	ILLUMINA	PAIRED	97	179494886	358989772	34984512587	15815600	2212.025212506915	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599285	ILLUMINA	PAIRED	97	175884816	351769632	34133842149	16766100	2035.8855352150958	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599235	ILLUMINA	PAIRED	96	175487895	350975790	33648119542	15956600	2108.7227690550044	ERS490172	TARA_20100624Z	TARA_066	"SV Tara"	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36:10	2010-07-15T17:40	-34.8901	18.0459	-34.8477	18.1136	30	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)"	15.019	35.3315	240.413	99999	0.424363	"marine biome (ENVO:00000447)"	"deep chlorophyll maximum layer (ENVO:xxxxxxxx)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR594374	ILLUMINA	PAIRED	97	28696101	57392202	5557800782	65720400	84.56738143830687	ERS488813	TARA_20100309Z	TARA_038	"SV Tara"	TARA_20100315T0335Z_038_EVENT_PUMP	2010-03-15T03:35	2010-03-15T05:53	19.0393	64.4913	19.0342	64.5162	5	"PUMP (High Volume Peristaltic Pump)"	VIRUS_NUC-Fe_W<-0.22	0	0.22	"This version can be used to provide data discovery services"	2014-05-01Z	n/a	26.2314	36.6179	199.936	0.889376	0.161808	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
